variable,tasa,conteo,n_total
desc_moderno,0.09756881225232944,911,9337
desc_contemporaneo,0.025597086858734068,239,9337
desc_nuevo,0.1185605654921281,1107,9337
desc_espectacular,0.09060726143300846,846,9337
desc_increible,0.05622791046374639,525,9337
desc_hermoso,0.06415336831958873,599,9337
desc_elegante,0.03994859162471886,373,9337
desc_lujoso,0.005462139873621078,51,9337
desc_exclusivo,0.10013923101638642,935,9337
desc_premium,0.03555745956945486,332,9337
desc_impecable,0.004069829709756881,38,9337
desc_comodo,0.02388347434936275,223,9337
desc_confortable,0.005462139873621078,51,9337
desc_acogedor,0.04412552211631145,412,9337
desc_funcional,0.07979008246760201,745,9337
desc_practico,0.012959194602120595,121,9337
desc_espacioso,0.009639070365213666,90,9337
desc_unico,0.035129056442112026,328,9337
desc_especial,0.008032558637678055,75,9337
desc_extraordinario,0.0012852093820284888,12,9337
desc_excepcional,0.026239691549748312,245,9337
desc_ideal,0.2764271179179608,2581,9337
desc_perfecto,0.06704508942915283,626,9337
desc_centrico,0.0013923101638641962,13,9337
desc_privilegiado,0.00824676020134947,77,9337
desc_estrategico,0.0036414265824140516,34,9337
desc_conveniente,0.0057834422191282,54,9337
desc_encantador,0.007711256292170933,72,9337
desc_sorprendente,0.000535503909178537,5,9337
desc_fascinante,0.0008568062546856592,8,9337
desc_maravilloso,0.0028917211095641,27,9337
desc_remodelado,0.013494698511299133,126,9337
desc_restaurado,0.0,0,9337
desc_bien_conservado,0.0002142015636714148,2,9337
desc_iluminado,0.008353860983185177,78,9337
desc_luminoso,0.004391132055264003,41,9337
desc_soleado,0.0001071007818357074,1,9337
desc_minimalista,0.015850915711684694,148,9337
desc_vanguardista,0.007497054728499518,70,9337
desc_tradicional,0.010602977401735032,99,9337
desc_clasico,0.004176930491592588,39,9337
desc_seguridad_24h,0.0011781086001927813,11,9337
desc_circuito_cerrado,0.035878761914961976,335,9337
desc_caseta_vigilancia,0.0,0,9337
desc_acceso_controlado,0.07100781835707401,663,9337
desc_gimnasio,0.19985005890543,1866,9337
desc_alberca,0.3210881439434508,2998,9337
desc_cancha_tenis,0.0,0,9337
desc_cancha_padel,0.0001071007818357074,1,9337
desc_area_juegos,0.0004284031273428296,4,9337
desc_salon_eventos,0.0003213023455071222,3,9337
desc_salon_fiestas,0.0,0,9337
desc_salon_usos_multiples,0.0022491164185498556,21,9337
desc_roof_garden,0.11952447252864946,1116,9337
desc_terraza_comun,0.0020349148548784407,19,9337
desc_elevador,0.07282853164828103,680,9337
desc_aire_acondicionado,0.12080968191067795,1128,9337
desc_calefaccion,0.0062118453464710295,58,9337
desc_calentador_agua,0.0,0,9337
desc_cocina_integral,0.36992610046053337,3454,9337
desc_cocina_equipada,0.06051194173717468,565,9337
desc_linea_blanca,0.0006426046910142444,6,9337
desc_electrodomesticos,0.010388775838063618,97,9337
desc_internet_incluido,0.0,0,9337
desc_gas_incluido,0.0,0,9337
desc_agua_incluida,0.0,0,9337
desc_luz_incluida,0.0,0,9337
desc_mantenimiento_incluido,0.0036414265824140516,34,9337
desc_mascotas_permitidas,0.0025704187640569775,24,9337
desc_amueblado,0.028381707186462463,265,9337
desc_semi_amueblado,0.0002142015636714148,2,9337
desc_vista_panoramica,0.03480775409660491,325,9337
desc_frente_al_mar,0.0,0,9337
titulo_moderno,0.005569240655456785,52,9337
titulo_contemporaneo,0.000535503909178537,5,9337
titulo_nuevo,0.021098854021634358,197,9337
titulo_espectacular,0.0038556281460854665,36,9337
titulo_increible,0.007604155510335225,71,9337
titulo_hermoso,0.009210667237870836,86,9337
titulo_elegante,0.0,0,9337
titulo_lujoso,0.0012852093820284888,12,9337
titulo_exclusivo,0.0028917211095641,27,9337
titulo_premium,0.0006426046910142444,6,9337
titulo_impecable,0.0001071007818357074,1,9337
titulo_comodo,0.0001071007818357074,1,9337
titulo_confortable,0.004605333618935418,43,9337
titulo_acogedor,0.0003213023455071222,3,9337
titulo_funcional,0.0001071007818357074,1,9337
titulo_practico,0.0,0,9337
titulo_espacioso,0.0004284031273428296,4,9337
titulo_unico,0.0009639070365213666,9,9337
titulo_especial,0.000535503909178537,5,9337
titulo_extraordinario,0.0002142015636714148,2,9337
titulo_excepcional,0.0,0,9337
titulo_ideal,0.0036414265824140516,34,9337
titulo_perfecto,0.0001071007818357074,1,9337
titulo_centrico,0.0003213023455071222,3,9337
titulo_privilegiado,0.0002142015636714148,2,9337
titulo_estrategico,0.0,0,9337
titulo_conveniente,0.0,0,9337
titulo_encantador,0.0,0,9337
titulo_sorprendente,0.0,0,9337
titulo_fascinante,0.0,0,9337
titulo_maravilloso,0.0,0,9337
titulo_remodelado,0.004605333618935418,43,9337
titulo_restaurado,0.0,0,9337
titulo_bien_conservado,0.0,0,9337
titulo_iluminado,0.0002142015636714148,2,9337
titulo_luminoso,0.0001071007818357074,1,9337
titulo_soleado,0.0,0,9337
titulo_minimalista,0.0,0,9337
titulo_vanguardista,0.0002142015636714148,2,9337
titulo_tradicional,0.0,0,9337
titulo_clasico,0.0,0,9337
titulo_seguridad_24h,0.0,0,9337
titulo_circuito_cerrado,0.0,0,9337
titulo_caseta_vigilancia,0.0,0,9337
titulo_acceso_controlado,0.0003213023455071222,3,9337
titulo_gimnasio,0.0,0,9337
titulo_alberca,0.009210667237870836,86,9337
titulo_cancha_tenis,0.0,0,9337
titulo_cancha_padel,0.0,0,9337
titulo_area_juegos,0.0,0,9337
titulo_salon_eventos,0.0,0,9337
titulo_salon_fiestas,0.0,0,9337
titulo_salon_usos_multiples,0.0,0,9337
titulo_roof_garden,0.0031059226732355148,29,9337
titulo_terraza_comun,0.0,0,9337
titulo_elevador,0.0003213023455071222,3,9337
titulo_aire_acondicionado,0.0,0,9337
titulo_calefaccion,0.0,0,9337
titulo_calentador_agua,0.0,0,9337
titulo_cocina_integral,0.0,0,9337
titulo_cocina_equipada,0.0,0,9337
titulo_linea_blanca,0.0,0,9337
titulo_electrodomesticos,0.0,0,9337
titulo_internet_incluido,0.0,0,9337
titulo_gas_incluido,0.0,0,9337
titulo_agua_incluida,0.0,0,9337
titulo_luz_incluida,0.0,0,9337
titulo_mantenimiento_incluido,0.0,0,9337
titulo_mascotas_permitidas,0.0,0,9337
titulo_amueblado,0.00942486880154225,88,9337
titulo_semi_amueblado,0.0,0,9337
titulo_vista_panoramica,0.001071007818357074,10,9337
titulo_frente_al_mar,0.0,0,9337
