colonia,municipio,count,precio_mediano,longitud_centro,latitud_centro
Alcalde Barranquitas,Guadalajara,7,17000.0,-103.347211,20.691678
Altamira,Zapopan,5,29000.0,-103.386492,20.713043
Americana,Guadalajara,36,21300.0,-103.370812,20.671425
Arcos,Guadalajara,7,19000.0,-103.378865,20.668281
Arcos Vallarta,Guadalajara,51,23000.0,-103.381095,20.674641
Arcos de Guadalupe,Zapopan,7,24900.0,-103.432701,20.663556
Armonía,Zapopan,3,18000.0,-103.444125,20.745882
Ayuntamiento,Guadalajara,14,22000.0,-103.371125,20.69321
Blanco y Cuellar,Guadalajara,3,15000.0,-103.304332,20.679718
Boreales,Zapopan,4,14900.0,-103.396795,20.756812
Bosques Vallarta,Zapopan,3,33000.0,-103.477352,20.719114
Camino Real,Zapopan,6,29000.0,-103.413106,20.676015
Cañadas de San Lorenzo,Zapopan,7,13500.0,-103.406715,20.753327
Centro,Zapopan,5,23000.0,-103.38965,20.723078
Chapalita,Guadalajara,13,19000.0,-103.395006,20.661404
Chapalita Sur,Zapopan,3,60000.0,-103.402222,20.660991
Chapultepec Country,Guadalajara,3,24000.0,-103.366555,20.696716
Cima Real,Zapopan,6,32500.0,-103.435213,20.723391
Circunvalación Américas,Guadalajara,3,33560.0,-103.376912,20.697839
Circunvalación Vallarta,Guadalajara,4,24450.0,-103.384524,20.682516
Ciudad Bugambilias,Zapopan,3,19500.0,-103.464848,20.611019
Ciudad Granja,Zapopan,23,24500.0,-103.449101,20.682797
Ciudad de Los Niños,Zapopan,4,16400.0,-103.412492,20.663102
Ciudad del Sol,Zapopan,6,32500.0,-103.405497,20.653903
Colinas de San Javier,Guadalajara,8,28250.0,-103.402164,20.708975
Colinas de San Javier,Zapopan,5,40000.0,-103.405898,20.697464
Colomos,Guadalajara,3,19000.0,-103.388832,20.700893
Colomos Providencia,Guadalajara,48,25650.0,-103.382097,20.708278
Cordilleras,Zapopan,3,22000.0,-103.418124,20.670557
Country Club,Guadalajara,35,35000.0,-103.370797,20.70142
Del Parque,Zapopan,5,27000.0,-103.447573,20.663809
El Bajío,Zapopan,6,25000.0,-103.472473,20.690158
El Campanario,Zapopan,4,14000.0,-103.436434,20.592092
El Colli Urbano,Zapopan,4,16500.0,-103.426335,20.643146
El Real,Zapopan,4,25750.0,-103.448236,20.738311
El Retiro,Guadalajara,6,13750.0,-103.34103,20.682548
El Vigía,Zapopan,3,14000.0,-103.390116,20.735227
Elite,Zapopan,5,22000.0,-103.460037,20.720245
Fidel Velázquez,Guadalajara,3,20000.0,-103.353594,20.712824
Francisco Sarabia,Zapopan,8,15750.0,-103.440884,20.612882
Guadalajarita,Zapopan,3,26500.0,-103.397003,20.714208
Hacienda de Las Lomas,Zapopan,5,33000.0,-103.415372,20.685711
Infonavit El Garabato,Zapopan,4,15250.0,-103.441524,20.623376
Italia Providencia,Guadalajara,10,26225.0,-103.378834,20.693312
Jardines Universidad,Zapopan,4,19850.0,-103.42229,20.687968
Jardines de Guadalupe,Zapopan,3,14600.0,-103.41953,20.665277
Jardines de La Patria,Zapopan,9,24900.0,-103.420886,20.683632
Jardines del Bosque,Guadalajara,16,28750.0,-103.383286,20.664824
Jardines del Sol,Zapopan,3,22000.0,-103.414008,20.652068
Jardín Real,Zapopan,16,30000.0,-103.431843,20.734621
Jocotán,Zapopan,5,20000.0,-103.442043,20.687403
Juan Manuel Vallarta,Zapopan,6,27000.0,-103.412342,20.679255
La Aurora,Guadalajara,3,12500.0,-103.339206,20.650485
La Ceiba,Zapopan,3,28000.0,-103.424993,20.716988
La Cima,Zapopan,4,26750.0,-103.41328,20.752562
La Mesa de La Coronilla,Zapopan,3,33500.0,-103.428265,20.703528
Ladrón de Guevara,Guadalajara,37,26500.0,-103.374052,20.679522
Lagos del Country,Zapopan,4,18750.0,-103.372851,20.715549
Las Arboledas,Zapopan,6,15000.0,-103.425503,20.631505
Las Lomas Golf Hábitat,Zapopan,3,33000.0,-103.435637,20.717681
Loma Bonita,Zapopan,5,21000.0,-103.408177,20.639548
Lomas Altas,Zapopan,9,28417.0,-103.411138,20.684379
Lomas del Country,Guadalajara,18,22500.0,-103.368601,20.698016
Mirador del Sol,Zapopan,3,20000.0,-103.421349,20.651621
Moderna,Guadalajara,14,18400.0,-103.37308,20.66559
Monraz,Guadalajara,12,32900.0,-103.394241,20.683885
Obrera,Guadalajara,22,22000.0,-103.371424,20.669309
Olivos Residencial,Zapopan,3,55000.0,-103.459638,20.733808
Poniente,Zapopan,20,27250.0,-103.423938,20.722267
Porta Real,Zapopan,3,21000.0,-103.453105,20.728662
Prados Providencia,Guadalajara,38,32500.0,-103.392719,20.689359
Providencia,Guadalajara,28,25801.5,-103.377577,20.700946
Providencia 2a Sección,Guadalajara,11,29000.0,-103.381314,20.695103
Providencia 3a Sección,Guadalajara,3,17000.0,-103.38096,20.70042
Providencia 4a Sección,Guadalajara,4,22250.0,-103.389182,20.694477
Puerta Las Lomas,Zapopan,10,125000.0,-103.436649,20.705503
Puerta de Hierro,Zapopan,74,48000.0,-103.415241,20.712345
Puerta de Plata,Zapopan,21,50000.0,-103.417691,20.703142
Puerta del Bosque,Zapopan,6,41000.0,-103.421193,20.703101
Puerta del Tule,Zapopan,17,22000.0,-103.44743,20.700633
Puerta del Valle,Zapopan,12,25000.0,-103.420195,20.724931
San Juan de Ocotán,Zapopan,3,27000.0,-103.455692,20.714429
Santa Rita,Guadalajara,4,35000.0,-103.402616,20.679182
Santillana,Zapopan,3,25500.0,-103.463188,20.719771
Sin Nombre,Zapopan,3,36000.0,-103.419808,20.700672
Solares,Zapopan,14,21750.0,-103.45596,20.725243
Solares Antara,Zapopan,3,26160.0,-103.467311,20.725293
Sole Real,Zapopan,7,27000.0,-103.453929,20.730974
Torres Cibeles,Zapopan,3,22000.0,-103.430435,20.736825
Vallarta Norte,Guadalajara,10,24750.0,-103.391495,20.677042
Vallarta San Jorge,Guadalajara,18,38000.0,-103.399845,20.677273
Vallarta Universidad,Zapopan,4,21650.0,-103.426776,20.68835
Valle Imperial,Zapopan,4,23500.0,-103.43799,20.777969
Valle Real,Zapopan,16,32000.0,-103.4407,20.725202
Victoria,Guadalajara,3,17500.0,-103.397873,20.645912
Villa Universitaria,Zapopan,5,39000.0,-103.411875,20.694022
Villas de Asís,Zapopan,3,40000.0,-103.441718,20.691866
Villaseñor (Santa Teresita),Guadalajara,7,20000.0,-103.368699,20.688403
Zapopan Centro,Zapopan,4,14250.0,-103.387708,20.73048
Zona Centro,Guadalajara,10,22750.0,-103.354446,20.674065
